{'acc': 92.79635258358662, 'f1': 36.849710982658955, 'p': 37.280701754385966, 'r': 36.42857142857142, 'f1_per': 54.59459459459459, 'p_per': 59.76331360946746, 'r_per': 50.24875621890548, 'f1_loc': 38.94139886578451, 'p_loc': 43.459915611814345, 'r_loc': 35.273972602739725, 'f1_org': 21.030927835051546, 'p_org': 18.345323741007196, 'r_org': 24.637681159420293}
{'acc': 95.02127659574468, 'f1': 59.4311377245509, 'p': 62.42138364779875, 'r': 56.714285714285715, 'f1_per': 76.96078431372551, 'p_per': 75.84541062801932, 'r_per': 78.1094527363184, 'f1_loc': 59.88483685220729, 'p_loc': 68.12227074235808, 'r_loc': 53.42465753424658, 'f1_org': 41.27764127764128, 'p_org': 42.0, 'r_org': 40.57971014492754}
{'acc': 96.04863221884499, 'f1': 69.28895612708017, 'p': 73.63344051446946, 'r': 65.42857142857143, 'f1_per': 83.70927318295739, 'p_per': 84.34343434343434, 'r_per': 83.08457711442786, 'f1_loc': 67.65249537892791, 'p_loc': 73.49397590361446, 'r_loc': 62.671232876712324, 'f1_org': 56.544502617801044, 'p_org': 61.71428571428571, 'r_org': 52.17391304347826}
{'acc': 96.61398176291793, 'f1': 77.36131934032984, 'p': 81.38801261829653, 'r': 73.71428571428571, 'f1_per': 90.63291139240506, 'p_per': 92.26804123711341, 'r_per': 89.05472636815921, 'f1_loc': 74.02135231316726, 'p_loc': 77.03703703703704, 'r_loc': 71.23287671232876, 'f1_org': 68.43501326259947, 'p_org': 75.88235294117646, 'r_org': 62.31884057971014}
{'acc': 96.96656534954407, 'f1': 80.39068369646881, 'p': 84.78605388272584, 'r': 76.42857142857142, 'f1_per': 92.85714285714286, 'p_per': 95.28795811518324, 'r_per': 90.54726368159204, 'f1_loc': 76.89530685920577, 'p_loc': 81.29770992366412, 'r_loc': 72.94520547945206, 'f1_org': 72.72727272727273, 'p_org': 78.65168539325843, 'r_org': 67.6328502415459}
{'acc': 97.26443768996961, 'f1': 82.71236959761549, 'p': 86.44859813084112, 'r': 79.28571428571428, 'f1_per': 94.68354430379746, 'p_per': 96.3917525773196, 'r_per': 93.03482587064677, 'f1_loc': 79.49640287769783, 'p_loc': 83.71212121212122, 'r_loc': 75.68493150684932, 'f1_org': 75.1918158567775, 'p_org': 79.8913043478261, 'r_org': 71.01449275362319}
{'acc': 97.35562310030396, 'f1': 82.94515401953419, 'p': 87.48019017432647, 'r': 78.85714285714286, 'f1_per': 93.43434343434342, 'p_per': 94.87179487179486, 'r_per': 92.03980099502488, 'f1_loc': 80.0, 'p_loc': 84.4106463878327, 'r_loc': 76.02739726027397, 'f1_org': 76.31578947368422, 'p_org': 83.8150289017341, 'r_org': 70.04830917874396}
{'acc': 97.49544072948328, 'f1': 84.0386043058649, 'p': 87.4806800618238, 'r': 80.85714285714286, 'f1_per': 93.1297709923664, 'p_per': 95.3125, 'r_per': 91.04477611940298, 'f1_loc': 81.28342245989305, 'p_loc': 84.75836431226766, 'r_loc': 78.08219178082192, 'f1_org': 78.88040712468194, 'p_org': 83.33333333333334, 'r_org': 74.8792270531401}
{'acc': 97.70820668693008, 'f1': 86.05518269947801, 'p': 90.01560062402496, 'r': 82.42857142857143, 'f1_per': 95.16539440203562, 'p_per': 97.39583333333334, 'r_per': 93.03482587064677, 'f1_loc': 83.24324324324324, 'p_loc': 87.83269961977186, 'r_loc': 79.1095890410959, 'f1_org': 80.91603053435115, 'p_org': 85.48387096774194, 'r_org': 76.81159420289855}
{'acc': 97.57446808510637, 'f1': 84.95181616011861, 'p': 88.28967642526965, 'r': 81.85714285714286, 'f1_per': 92.85714285714286, 'p_per': 95.28795811518324, 'r_per': 90.54726368159204, 'f1_loc': 84.02154398563734, 'p_loc': 88.30188679245283, 'r_loc': 80.13698630136986, 'f1_org': 78.5, 'p_org': 81.34715025906736, 'r_org': 75.84541062801932}
{'acc': 97.55623100303951, 'f1': 85.52437223042836, 'p': 88.53211009174312, 'r': 82.71428571428572, 'f1_per': 95.43147208121827, 'p_per': 97.40932642487047, 'r_per': 93.53233830845771, 'f1_loc': 83.39350180505414, 'p_loc': 88.16793893129771, 'r_loc': 79.1095890410959, 'f1_org': 78.81773399014777, 'p_org': 80.40201005025126, 'r_org': 77.29468599033817}
{'acc': 97.42857142857143, 'f1': 85.8192505510654, 'p': 88.35098335854765, 'r': 83.42857142857143, 'f1_per': 95.18987341772151, 'p_per': 96.90721649484536, 'r_per': 93.53233830845771, 'f1_loc': 84.11552346570397, 'p_loc': 88.93129770992367, 'r_loc': 79.7945205479452, 'f1_org': 79.12621359223301, 'p_org': 79.51219512195122, 'r_org': 78.74396135265701}
{'acc': 97.67173252279635, 'f1': 86.30952380952382, 'p': 90.06211180124224, 'r': 82.85714285714286, 'f1_per': 93.67088607594938, 'p_per': 95.36082474226805, 'r_per': 92.03980099502488, 'f1_loc': 84.84848484848484, 'p_loc': 88.47583643122677, 'r_loc': 81.5068493150685, 'f1_org': 80.92783505154638, 'p_org': 86.74033149171271, 'r_org': 75.84541062801932}
{'acc': 97.67173252279635, 'f1': 85.82089552238806, 'p': 89.84375, 'r': 82.14285714285714, 'f1_per': 94.65648854961832, 'p_per': 96.875, 'r_per': 92.53731343283582, 'f1_loc': 84.22939068100358, 'p_loc': 88.34586466165413, 'r_loc': 80.47945205479452, 'f1_org': 79.17737789203085, 'p_org': 84.61538461538461, 'r_org': 74.39613526570048}
